Title,Author,Quantity,Price,Location,Isbn,EditionYear,Publisher,Edition,Cover,Subject,Pages,Language,Display
Travels Of Mirza Abu Taleb Khan,Charles Stewart,1,1250,RR7,,1972,Sona Publications,General,Hard Cover,Mountaineering,,English,General
Full Tilt Ireland To India With a Bicycle,Dervla Murphy,1,1500,RR7,,1978,John Murray Limited,General,Hard Cover,Mountaineering,,English,General
Passage to Juneau,Jonathan Raban,1,440,RR7,679776141,2000,Vintage,General,Soft Cover,Sports & Recreation,448,English,General
At The Foot Of The Fish-Tail Mountain,Lily M. O'Hanlon,1,129,RR7,9.79818E+12,2005,Pilgrims Books,General,Soft Cover,Mountaineering,,English,General
Lake Superior,Grace Lee Nute,1,395,RR7,9.78082E+12,2000,Minneapolis : University of Minnesota Press,General,Soft Cover,History,376,English,General
The Living Great Lakes,Jerry Dennis,1,495,RR7,9.78031E+12,6/1/2004,Macmillan,General,Soft Cover,History,320,English,General
The Kon-Tiki Expedition,Thor Heyerdahl,1,2995,RR7,,1953,"Garden City Publishing Co., INC.",General,Hard Cover,Mountaineering,,English,General
The Suez Expedition 1956,Andre Beaufre,1,2500,RR7,571089798,1969,Faber & Faber Company LTD.,General,Hard Cover,Mountaineering,,English,General
Wandering In The Himalayas,Sri Swami Tapovanam,1,595,RR7,,1984,Central Chinmaya Mission Trust,General,Soft Cover,Mountaineering,,English,General
"High Himalaya, unknown valleys",Harish Kapadia,1,3995,RR7,8185182876,1993,Indus,General,Hard Cover,History,335,English,General
Road To Rakaposhi,George Band,1,3995,RR7,,1940,The Travel Book Club,General,Hard Cover,Mountaineering,,English,General
To a Mountain in Tibet,Colin Thubron,1,995,RR7,9.7807E+12,2011,Random House,General,Soft Cover,"Kailas, Mount (China)",240,English,General
The Scottish Himalayan Expedition,W. H. Murray,1,7200,RR7,,1951,J. M. Dent & Sons LTD,General,Hard Cover,Mountaineering,,English,General
Mountaineering The Freedom Of The Hills,Harvey Manning,1,1695,RR7,,1967,The Mountaineers Seattle,General,Hard Cover,Mountaineering,,English,General
Circle Of Protest,Ronald D. Schwartz,1,395,RR7,8120813707,1/1/1996,Motilal Banarsidass Publishe,General,Soft Cover,Mountaineering,263,English,General
On Being Run Down by a Run Down Railroad,Les Aspin,1,250,RR7,375703063,1978,Vintage Contemporaries,General,Soft Cover,Railroads,12,English,General
The Crossing Of Antarctica The Commonwealth Trans-Antarctic Expedition,Edmund Hillary,1,1995,RR7,,1960,Penguin Books,General,Hard Cover,Mountaineering,,English,General
Learn Rock Climbing In The Weekend,Kevin Walker,1,995,RR7,9.78086E+12,1994,Dorling Kindersley,General,Hard Cover,Mountaineering,,English,General
Himalaya,Michael Palin,1,2495,RR7,9.7803E+12,2004,Weidenfeld & Nicolson,General,Hard Cover,Ancient cultures,288,English,General
Man Of Everest The Autobiography Of Tenzing,James Ramsey Ullman,1,495,RR7,,1956,The Reprint Society,General,Soft Cover,Mountaineering,,English,General
